"robert_node","existing_node","mapping_type"
"Bone Formation","Bone Remodeling","many-to-one abstraction"
"Bone Resorption","Bone Remodeling","many-to-one abstraction"
"CO2 Physiologic Changes","CO2 (Risk)","label alias"
"HSI Processes","HSIA (Risk)","label alias"
"Hydronephrosis","Medical Illness","many-to-one abstraction"
"Infection","Medical Illness","many-to-one abstraction"
"Renal Colic","Medical Illness","many-to-one abstraction"
"Renal Failure","Medical Illness","many-to-one abstraction"
"Sepsis","Medical Illness","many-to-one abstraction"
"Pharmaceutical Effectiveness","Pharm (Risk)","label alias"
"Urinary Retention","Urinary Retention (Risk)","label alias"
