"from","to"
"Altered Gravity","Fluid Shifts"
"Astronaut Selection","Individual Factors"
"Brain Structural Changes","Detect Brain Structural Changes"
"Brain Structural Changes","Long Term Health Outcomes"
"CO2 Physiologic Changes","Intracranial Pressure Changes"
"Chorioretinal Folds","Detect Ocular Structural Changes"
"Chorioretinal Folds","Flight Recertification"
"Chorioretinal Folds","Visual Field Defect"
"Crew Capability","Task Performance"
"Crew Health and Performance System","Medical Prevention Capability"
"Crew Health and Performance System","Medical Treatment Capability"
"Crew Health and Performance System","Physiologic Monitoring Capability"
"Detect Brain Structural Changes","Detect Long Term Health Outcomes"
"Detect Intracranial Pressure Changes","Detect Long Term Health Outcomes"
"Detect Intracranial Pressure Changes","Flight Recertification"
"Detect Ocular Structural Changes","Detect Long Term Health Outcomes"
"Detect Ocular Structural Changes","Flight Recertification"
"Detect Visual Changes","Lenses"
"Distance from Earth","Vehicle Design"
"Fluid Shifts","Brain Structural Changes"
"Fluid Shifts","Intracranial Pressure Changes"
"Fluid Shifts","Vascular Congestion"
"Fundoscopy","Detect Ocular Structural Changes"
"Globe Flattening","Chorioretinal Folds"
"Globe Flattening","Detect Ocular Structural Changes"
"Globe Flattening","Refractive Error Shift"
"HSI Processes","Crew Health and Performance System"
"HSI Processes","Vehicle Design"
"Individual Factors","Brain Structural Changes"
"Individual Factors","Chorioretinal Folds"
"Individual Factors","Globe Flattening"
"Individual Factors","Intracranial Pressure Changes"
"Individual Factors","Optic Disc Edema"
"Individual Factors","Refractive Error Shift"
"Individual Factors","Retinal Nerve Fiber Layer Atrophy"
"Individual Factors","Vascular Congestion"
"Individual Factors","Visual Field Defect"
"Individual Readiness","Crew Capability"
"Intracranial Pressure Changes","Brain Structural Changes"
"Intracranial Pressure Changes","Detect Intracranial Pressure Changes"
"Intracranial Pressure Changes","Globe Flattening"
"Intracranial Pressure Changes","Long Term Health Outcomes"
"Intracranial Pressure Changes","Optic Disc Edema"
"Intracranial Pressure Monitoring","Detect Intracranial Pressure Changes"
"Lenses","Individual Readiness"
"Long Term Health Outcomes","Detect Long Term Health Outcomes"
"Loss of Mission Objectives","Loss of Mission"
"Lower Body Negative Pressure","Vascular Congestion"
"MRI","Detect Brain Structural Changes"
"MRI","Detect Ocular Structural Changes"
"Medical Prevention Capability","Lower Body Negative Pressure"
"Medical Prevention Capability","Medications"
"Medical Prevention Capability","Supplements"
"Medical Prevention Capability","Thigh Cuffs"
"Medical Treatment Capability","Lenses"
"Medications","Intracranial Pressure Changes"
"Medications","Vascular Congestion"
"Optic Disc Edema","Chorioretinal Folds"
"Optic Disc Edema","Detect Ocular Structural Changes"
"Optic Disc Edema","Retinal Nerve Fiber Layer Atrophy"
"Optic Disc Edema","Visual Field Defect"
"Optical Coherence Tomography","Detect Ocular Structural Changes"
"Pharmaceutical Effectiveness","Medical Prevention Capability"
"Pharmaceutical Storage Conditions","Supplements"
"Physiologic Monitoring Capability","Fundoscopy"
"Physiologic Monitoring Capability","Intracranial Pressure Monitoring"
"Physiologic Monitoring Capability","Optical Coherence Tomography"
"Physiologic Monitoring Capability","Ultrasound"
"Physiologic Monitoring Capability","Visual AcuityTests"
"Physiologic Monitoring Capability","Visual Fields Tests"
"Refractive Error Shift","Detect Visual Changes"
"Refractive Error Shift","Individual Readiness"
"Retinal Nerve Fiber Layer Atrophy","Visual Field Defect"
"Stress","Intracranial Pressure Changes"
"Supplements","Intracranial Pressure Changes"
"Surveillance","Detect Long Term Health Outcomes"
"Task Performance","Loss of Mission Objectives"
"Thigh Cuffs","Vascular Congestion"
"Ultrasound","Detect Ocular Structural Changes"
"Vascular Congestion","Globe Flattening"
"Vascular Congestion","Intracranial Pressure Changes"
"Vascular Congestion","Optic Disc Edema"
"Vascular Structure/Function","Optic Disc Edema"
"Vehicle Design","Crew Health and Performance System"
"Visual AcuityTests","Detect Visual Changes"
"Visual Field Defect","Detect Visual Changes"
"Visual Field Defect","Individual Readiness"
"Visual Field Defect","Long Term Health Outcomes"
"Visual Fields Tests","Detect Visual Changes"
