"method","distance","truth_mass","method_mass","calibration_ratio"
"Ordinary TreeSHAP",1,0.242202332519664,0.717215705926418,2.96122534763754
"Ordinary TreeSHAP",2,0.178645692071241,0.113576065895799,0.635761591681092
"Ordinary TreeSHAP",3,0.328270499954796,0.0933892613023939,0.284488762987738
"Ordinary TreeSHAP",4,0.193427357381792,0.0538101267552036,0.278192985220089
"Ordinary TreeSHAP",5,0.054832293644336,0.00592406779596635,0.108039921765685
"Ordinary TreeSHAP",6,0.00262182442817105,0.0160847723242193,6.13493443803764
"Ordinary interventional SHAP",1,0.242202332519664,0.700411316501392,2.89184373369356
"Ordinary interventional SHAP",2,0.178645692071241,0.115800557585315,0.648213565972805
"Ordinary interventional SHAP",3,0.328270499954796,0.106452452128727,0.324282745176793
"Ordinary interventional SHAP",4,0.193427357381792,0.0569024581750055,0.294180027083189
"Ordinary interventional SHAP",5,0.054832293644336,0.00441465069980317,0.0805120413768935
"Ordinary interventional SHAP",6,0.00262182442817105,0.016018564909758,6.10968211327224
"DAG-constrained asymmetric SHAP",1,0.242202332519664,0.701000442461069,2.89427610471669
"DAG-constrained asymmetric SHAP",2,0.178645692071241,0.111358319927872,0.623347377724563
"DAG-constrained asymmetric SHAP",3,0.328270499954796,0.113429260428791,0.345535974109919
"DAG-constrained asymmetric SHAP",4,0.193427357381792,0.0541766311537428,0.280087776032269
"DAG-constrained asymmetric SHAP",5,0.054832293644336,0.00389187468145361,0.0709779531915697
"DAG-constrained asymmetric SHAP",6,0.00262182442817105,0.0161434713470721,6.15732296960244
