"source_node","variable","distance","ancestor_subgraph_indegree","structural_role","distribution","contrast_low","contrast_high","contrast_definition"
"Individual Factors","individual_factors",1,1,"direct_parent","continuous",-0.792330021990903,0.315895207944925,"do(X=observed Q75) versus do(X=observed Q25)"
"Mineralized Renal Material","mineralized_renal_material",1,1,"direct_parent","continuous",-1.1174547265957,0.495953289160812,"do(X=observed Q75) versus do(X=observed Q25)"
"Astronaut Selection","astronaut_selection",2,0,"upstream_root","binary",0,1,"do(X=1) versus do(X=0)"
"Urine Chemistry","urine_chemistry",2,7,"intermediate_ancestor","continuous",-1.54894371304069,0.535873404209432,"do(X=observed Q75) versus do(X=observed Q25)"
"Bone Remodeling","bone_remodeling",3,6,"intermediate_ancestor","continuous",-1.15168353876958,0.42325598882258,"do(X=observed Q75) versus do(X=observed Q25)"
"CO2 (Risk)","co2_risk",3,0,"upstream_root","binary",0,1,"do(X=1) versus do(X=0)"
"K+ Citrate","k_plus_citrate",3,1,"intermediate_ancestor","binary",0,1,"do(X=1) versus do(X=0)"
"Medical Prevention Capability","medical_prevention_capability",3,2,"intermediate_ancestor","binary",0,1,"do(X=1) versus do(X=0)"
"Microbiome","microbiome",3,1,"intermediate_ancestor","continuous",-0.326316213082709,0.77032371274764,"do(X=observed Q75) versus do(X=observed Q25)"
"Thiazides","thiazides",3,1,"intermediate_ancestor","binary",0,1,"do(X=1) versus do(X=0)"
"Urine Concentration","urine_concentration",3,1,"intermediate_ancestor","continuous",-0.213360652158017,1.06448085423401,"do(X=observed Q75) versus do(X=observed Q25)"
"Altered Gravity","altered_gravity",4,0,"upstream_root","binary",0,1,"do(X=1) versus do(X=0)"
"Bisphosphonates","bisphosphonates",4,1,"intermediate_ancestor","binary",0,1,"do(X=1) versus do(X=0)"
"Bone Fracture (Risk)","bone_fracture_risk",4,0,"upstream_root","binary",0,1,"do(X=1) versus do(X=0)"
"Crew Health and Performance System","crew_health_and_performance_system",4,2,"intermediate_ancestor","binary",0,1,"do(X=1) versus do(X=0)"
"Hydration","hydration",4,3,"intermediate_ancestor","continuous",0.122295407179331,1.35336076570833,"do(X=observed Q75) versus do(X=observed Q25)"
"Microhost (Risk)","microhost_risk",4,0,"upstream_root","binary",0,1,"do(X=1) versus do(X=0)"
"Nutrients","nutrients",4,1,"intermediate_ancestor","continuous",-0.366921052900922,0.745211160379609,"do(X=observed Q75) versus do(X=observed Q25)"
"Pharm (Risk)","pharm_risk",4,0,"upstream_root","binary",0,1,"do(X=1) versus do(X=0)"
"Resistive Exercise","resistive_exercise",4,1,"intermediate_ancestor","binary",0,1,"do(X=1) versus do(X=0)"
"Food and Nutrition (Risk)","food_and_nutrition_risk",5,0,"upstream_root","binary",0,1,"do(X=1) versus do(X=0)"
"HSIA (Risk)","hsia_risk",5,0,"upstream_root","binary",0,1,"do(X=1) versus do(X=0)"
"Hostile Closed Environment","hostile_closed_environment",5,0,"upstream_root","binary",0,1,"do(X=1) versus do(X=0)"
"Humidity","humidity",5,1,"intermediate_ancestor","binary",0,1,"do(X=1) versus do(X=0)"
"Vehicle Design","vehicle_design",5,2,"intermediate_ancestor","binary",0,1,"do(X=1) versus do(X=0)"
"Water Intake","water_intake",5,2,"intermediate_ancestor","binary",0,1,"do(X=1) versus do(X=0)"
"Distance from Earth","distance_from_earth",6,0,"upstream_root","binary",0,1,"do(X=1) versus do(X=0)"
"Medical Treatment Capability","medical_treatment_capability",6,2,"intermediate_ancestor","binary",0,1,"do(X=1) versus do(X=0)"
