method,variable,raw_importance,normalized_importance
Interventional truth,Diet,0.8,0.27586206896551724
Interventional truth,Climate,1.1,0.3793103448275862
Interventional truth,Hydration,1.0,0.3448275862068965
Interventional truth,ClinicVisit,0.0,0.0
Ordinary SHAP,Diet,0.15198380430055985,0.0875324143322876
Ordinary SHAP,Climate,0.2676130324713039,0.1541270462783897
Ordinary SHAP,Hydration,0.5243440021660377,0.3019867587962361
Ordinary SHAP,ClinicVisit,0.7923737076208632,0.4563537805930867
Structural Causal SHAP,Diet,0.5150931844548947,0.2595215290570408
Structural Causal SHAP,Climate,0.867974246782625,0.43731505386844294
Structural Causal SHAP,Hydration,0.2731398413442748,0.1376171757098273
Structural Causal SHAP,ClinicVisit,0.328572897011308,0.16554624136468893
